,image_path,image_name,subject_name,mask_path
1976,train/1_1.tif,1,1,train/1_1_mask.tif
291,train/10_1.tif,1,10,train/10_1_mask.tif
7587,train/11_1.tif,1,11,train/11_1_mask.tif
9829,train/12_1.tif,1,12,train/12_1_mask.tif
6686,train/13_1.tif,1,13,train/13_1_mask.tif
6574,train/14_1.tif,1,14,train/14_1_mask.tif
9198,train/15_1.tif,1,15,train/15_1_mask.tif
9495,train/16_1.tif,1,16,train/16_1_mask.tif
2740,train/17_1.tif,1,17,train/17_1_mask.tif
3116,train/18_1.tif,1,18,train/18_1_mask.tif
6996,train/19_1.tif,1,19,train/19_1_mask.tif
1113,train/2_1.tif,1,2,train/2_1_mask.tif
4768,train/20_1.tif,1,20,train/20_1_mask.tif
781,train/21_1.tif,1,21,train/21_1_mask.tif
5049,train/22_1.tif,1,22,train/22_1_mask.tif
7430,train/23_1.tif,1,23,train/23_1_mask.tif
7288,train/24_1.tif,1,24,train/24_1_mask.tif
10460,train/25_1.tif,1,25,train/25_1_mask.tif
8389,train/26_1.tif,1,26,train/26_1_mask.tif
679,train/27_1.tif,1,27,train/27_1_mask.tif
1522,train/28_1.tif,1,28,train/28_1_mask.tif
1020,train/29_1.tif,1,29,train/29_1_mask.tif
10190,train/3_1.tif,1,3,train/3_1_mask.tif
2913,train/30_1.tif,1,30,train/30_1_mask.tif
3945,train/31_1.tif,1,31,train/31_1_mask.tif
2783,train/32_1.tif,1,32,train/32_1_mask.tif
1670,train/33_1.tif,1,33,train/33_1_mask.tif
10714,train/34_1.tif,1,34,train/34_1_mask.tif
10212,train/35_1.tif,1,35,train/35_1_mask.tif
4787,train/36_1.tif,1,36,train/36_1_mask.tif
2049,train/37_1.tif,1,37,train/37_1_mask.tif
8184,train/38_1.tif,1,38,train/38_1_mask.tif
4594,train/39_1.tif,1,39,train/39_1_mask.tif
2098,train/4_1.tif,1,4,train/4_1_mask.tif
8964,train/40_1.tif,1,40,train/40_1_mask.tif
1479,train/41_1.tif,1,41,train/41_1_mask.tif
6065,train/42_1.tif,1,42,train/42_1_mask.tif
8250,train/43_1.tif,1,43,train/43_1_mask.tif
2130,train/44_1.tif,1,44,train/44_1_mask.tif
5736,train/45_1.tif,1,45,train/45_1_mask.tif
4280,train/46_1.tif,1,46,train/46_1_mask.tif
2556,train/47_1.tif,1,47,train/47_1_mask.tif
10278,train/5_1.tif,1,5,train/5_1_mask.tif
5318,train/6_1.tif,1,6,train/6_1_mask.tif
1391,train/7_1.tif,1,7,train/7_1_mask.tif
10737,train/8_1.tif,1,8,train/8_1_mask.tif
6793,train/9_1.tif,1,9,train/9_1_mask.tif
1581,train/1_10.tif,10,1,train/1_10_mask.tif
3252,train/10_10.tif,10,10,train/10_10_mask.tif
4559,train/11_10.tif,10,11,train/11_10_mask.tif
1782,train/12_10.tif,10,12,train/12_10_mask.tif
2551,train/14_10.tif,10,14,train/14_10_mask.tif
9767,train/16_10.tif,10,16,train/16_10_mask.tif
4997,train/17_10.tif,10,17,train/17_10_mask.tif
8488,train/18_10.tif,10,18,train/18_10_mask.tif
5129,train/19_10.tif,10,19,train/19_10_mask.tif
4909,train/2_10.tif,10,2,train/2_10_mask.tif
6245,train/20_10.tif,10,20,train/20_10_mask.tif
8044,train/22_10.tif,10,22,train/22_10_mask.tif
4588,train/23_10.tif,10,23,train/23_10_mask.tif
5622,train/24_10.tif,10,24,train/24_10_mask.tif
10739,train/25_10.tif,10,25,train/25_10_mask.tif
7053,train/26_10.tif,10,26,train/26_10_mask.tif
8979,train/27_10.tif,10,27,train/27_10_mask.tif
890,train/28_10.tif,10,28,train/28_10_mask.tif
5949,train/29_10.tif,10,29,train/29_10_mask.tif
5948,train/3_10.tif,10,3,train/3_10_mask.tif
9709,train/31_10.tif,10,31,train/31_10_mask.tif
1122,train/32_10.tif,10,32,train/32_10_mask.tif
7046,train/33_10.tif,10,33,train/33_10_mask.tif
6913,train/34_10.tif,10,34,train/34_10_mask.tif
6893,train/35_10.tif,10,35,train/35_10_mask.tif
7167,train/36_10.tif,10,36,train/36_10_mask.tif
6390,train/37_10.tif,10,37,train/37_10_mask.tif
4540,train/38_10.tif,10,38,train/38_10_mask.tif
10108,train/39_10.tif,10,39,train/39_10_mask.tif
10992,train/4_10.tif,10,4,train/4_10_mask.tif
2464,train/40_10.tif,10,40,train/40_10_mask.tif
10107,train/41_10.tif,10,41,train/41_10_mask.tif
5796,train/42_10.tif,10,42,train/42_10_mask.tif
2224,train/43_10.tif,10,43,train/43_10_mask.tif
8844,train/44_10.tif,10,44,train/44_10_mask.tif
2772,train/45_10.tif,10,45,train/45_10_mask.tif
1690,train/46_10.tif,10,46,train/46_10_mask.tif
9115,train/47_10.tif,10,47,train/47_10_mask.tif
6352,train/5_10.tif,10,5,train/5_10_mask.tif
8825,train/6_10.tif,10,6,train/6_10_mask.tif
9302,train/7_10.tif,10,7,train/7_10_mask.tif
6770,train/8_10.tif,10,8,train/8_10_mask.tif
5723,train/9_10.tif,10,9,train/9_10_mask.tif
10277,train/1_100.tif,100,1,train/1_100_mask.tif
8192,train/10_100.tif,100,10,train/10_100_mask.tif
10903,train/11_100.tif,100,11,train/11_100_mask.tif
5363,train/12_100.tif,100,12,train/12_100_mask.tif
5345,train/13_100.tif,100,13,train/13_100_mask.tif
7932,train/14_100.tif,100,14,train/14_100_mask.tif
3004,train/15_100.tif,100,15,train/15_100_mask.tif
2276,train/16_100.tif,100,16,train/16_100_mask.tif
8373,train/17_100.tif,100,17,train/17_100_mask.tif
5067,train/18_100.tif,100,18,train/18_100_mask.tif
6637,train/19_100.tif,100,19,train/19_100_mask.tif
8965,train/2_100.tif,100,2,train/2_100_mask.tif
6655,train/20_100.tif,100,20,train/20_100_mask.tif
8406,train/21_100.tif,100,21,train/21_100_mask.tif
10955,train/22_100.tif,100,22,train/22_100_mask.tif
8111,train/23_100.tif,100,23,train/23_100_mask.tif
1065,train/24_100.tif,100,24,train/24_100_mask.tif
1346,train/25_100.tif,100,25,train/25_100_mask.tif
7038,train/26_100.tif,100,26,train/26_100_mask.tif
4920,train/27_100.tif,100,27,train/27_100_mask.tif
1341,train/29_100.tif,100,29,train/29_100_mask.tif
3068,train/3_100.tif,100,3,train/3_100_mask.tif
752,train/30_100.tif,100,30,train/30_100_mask.tif
6679,train/33_100.tif,100,33,train/33_100_mask.tif
10318,train/34_100.tif,100,34,train/34_100_mask.tif
7460,train/35_100.tif,100,35,train/35_100_mask.tif
3338,train/36_100.tif,100,36,train/36_100_mask.tif
8207,train/37_100.tif,100,37,train/37_100_mask.tif
9249,train/38_100.tif,100,38,train/38_100_mask.tif
3893,train/39_100.tif,100,39,train/39_100_mask.tif
8267,train/4_100.tif,100,4,train/4_100_mask.tif
353,train/40_100.tif,100,40,train/40_100_mask.tif
9783,train/41_100.tif,100,41,train/41_100_mask.tif
6557,train/42_100.tif,100,42,train/42_100_mask.tif
1287,train/44_100.tif,100,44,train/44_100_mask.tif
9826,train/45_100.tif,100,45,train/45_100_mask.tif
5275,train/46_100.tif,100,46,train/46_100_mask.tif
4515,train/6_100.tif,100,6,train/6_100_mask.tif
5180,train/7_100.tif,100,7,train/7_100_mask.tif
9311,train/8_100.tif,100,8,train/8_100_mask.tif
1474,train/9_100.tif,100,9,train/9_100_mask.tif
7689,train/1_101.tif,101,1,train/1_101_mask.tif
1887,train/10_101.tif,101,10,train/10_101_mask.tif
681,train/11_101.tif,101,11,train/11_101_mask.tif
2994,train/12_101.tif,101,12,train/12_101_mask.tif
2103,train/13_101.tif,101,13,train/13_101_mask.tif
9084,train/14_101.tif,101,14,train/14_101_mask.tif
3309,train/15_101.tif,101,15,train/15_101_mask.tif
6664,train/16_101.tif,101,16,train/16_101_mask.tif
1991,train/17_101.tif,101,17,train/17_101_mask.tif
4677,train/18_101.tif,101,18,train/18_101_mask.tif
8335,train/19_101.tif,101,19,train/19_101_mask.tif
6964,train/2_101.tif,101,2,train/2_101_mask.tif
10008,train/20_101.tif,101,20,train/20_101_mask.tif
3795,train/22_101.tif,101,22,train/22_101_mask.tif
5746,train/23_101.tif,101,23,train/23_101_mask.tif
3018,train/24_101.tif,101,24,train/24_101_mask.tif
7896,train/25_101.tif,101,25,train/25_101_mask.tif
